goos: darwin
goarch: amd64
pkg: github.com/corestoreio/csfw/storage/dbr
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1206 ns/op	     880 B/op	       9 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 1000000	      1591 ns/op	     128 B/op	       3 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 1000000	      1599 ns/op	     128 B/op	       3 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 1000000	      1613 ns/op	     128 B/op	       3 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 1000000	      1605 ns/op	     128 B/op	       3 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	 1000000	      1156 ns/op	      80 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	 1000000	      1157 ns/op	      80 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	 1000000	      1131 ns/op	      80 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	 1000000	      1126 ns/op	      80 B/op	       2 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1186 ns/op	     976 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1189 ns/op	     976 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1186 ns/op	     976 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1191 ns/op	     976 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      1456 ns/op	     208 B/op	       2 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      1465 ns/op	     208 B/op	       2 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      1499 ns/op	     208 B/op	       2 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      1455 ns/op	     208 B/op	       2 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	       995 ns/op	      80 B/op	       1 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 1000000	      1007 ns/op	      80 B/op	       1 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 1000000	      1005 ns/op	      80 B/op	       1 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	      1012 ns/op	      80 B/op	       1 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1000000	      1386 ns/op	    1032 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1000000	      1386 ns/op	    1032 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1000000	      1396 ns/op	    1032 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1000000	      1387 ns/op	    1032 B/op	      12 allocs/op
BenchmarkRepeat/multi-4                                       	 1000000	      1320 ns/op	     176 B/op	       2 allocs/op
BenchmarkRepeat/multi-4                                       	 1000000	      1350 ns/op	     176 B/op	       2 allocs/op
BenchmarkRepeat/multi-4                                       	 1000000	      1286 ns/op	     176 B/op	       2 allocs/op
BenchmarkRepeat/multi-4                                       	 1000000	      1300 ns/op	     176 B/op	       2 allocs/op
BenchmarkRepeat/single-4                                      	 2000000	       735 ns/op	      96 B/op	       2 allocs/op
BenchmarkRepeat/single-4                                      	 2000000	       739 ns/op	      96 B/op	       2 allocs/op
