goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 5000000	       264 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 5000000	       263 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 5000000	       261 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        14.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        14.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        14.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        14.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	100000000	        14.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     25954 ns/op	    9548 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26080 ns/op	    9549 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26325 ns/op	    9550 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26009 ns/op	    9547 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   50000	     26033 ns/op	    9547 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27839 ns/op	   10384 B/op	      19 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     28013 ns/op	   10385 B/op	      19 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27968 ns/op	   10383 B/op	      19 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     27933 ns/op	   10385 B/op	      19 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   50000	     28200 ns/op	   10384 B/op	      19 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28348 ns/op	   10751 B/op	      26 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28304 ns/op	   10734 B/op	      26 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28511 ns/op	   10762 B/op	      26 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28491 ns/op	   10762 B/op	      26 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   50000	     28384 ns/op	   10765 B/op	      26 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24838 ns/op	    5410 B/op	       2 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24877 ns/op	    5409 B/op	       2 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24999 ns/op	    5409 B/op	       2 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24886 ns/op	    5409 B/op	       2 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24912 ns/op	    5409 B/op	       2 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2637 ns/op	    4769 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2647 ns/op	    4769 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2535 ns/op	    4769 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2530 ns/op	    4769 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2529 ns/op	    4769 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4481 ns/op	    4809 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4484 ns/op	    4808 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4489 ns/op	    4808 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4480 ns/op	    4808 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4474 ns/op	    4808 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1202 ns/op	    3184 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1200 ns/op	    3184 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1201 ns/op	    3184 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1204 ns/op	    3184 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1199 ns/op	    3184 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 2000000	       646 ns/op	     145 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       663 ns/op	     140 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       265 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       267 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       266 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        17.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        17.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        17.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        17.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        17.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1916 ns/op	    4611 B/op	      15 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1925 ns/op	    4612 B/op	      15 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1921 ns/op	    4612 B/op	      15 allocs/op
