goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkUnion/Template-4                                  	72483337	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   84793	     13905 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   87266	     13862 ns/op	   14007 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   85604	     14087 ns/op	   14009 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   85052	     14167 ns/op	   14009 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   87199	     13870 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_interpolated-4                     	71001130	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74684671	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74167231	        16.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74491585	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	71848107	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateValuesSQL-4                                 	  988248	      1189 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1187 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1187 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1188 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1189 ns/op	    3184 B/op	      10 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  654532	      1829 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  663440	      1823 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  667398	      1817 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  662736	      1822 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  661210	      1817 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1839457	       652 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1842080	       655 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1840773	       652 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1840104	       652 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/args_all_types-4                      	 1841242	       652 ns/op	     464 B/op	      25 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  476208	      2515 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  473437	      2520 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  463278	      2479 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  482235	      2480 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/reflection_numbers-4                  	  486880	      2475 ns/op	     984 B/op	      78 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1570719	       763 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1567372	       764 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1556706	       763 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1572465	       764 ns/op	     664 B/op	      41 allocs/op
BenchmarkArgsToIFace/args_numbers-4                        	 1576588	       761 ns/op	     664 B/op	      41 allocs/op
BenchmarkInterpolate-4                                     	  628066	      1921 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  626912	      1920 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  627157	      1921 ns/op	     160 B/op	       1 allocs/op
