goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkQuoteAs-4                                         	10421314	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10423740	       114 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5686982	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5691505	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5687414	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5692623	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5694193	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17335686	        69.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17367894	        69.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17406996	        69.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17181050	        69.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17413492	        69.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6581011	       263 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 4773404	       295 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 5247840	       261 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 4984030	       270 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 4971259	       301 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 4036496	       296 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 4388037	       305 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 3710740	       346 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 4382270	       299 ns/op	     208 B/op	       2 allocs/op
