goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   50000	     24927 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2465 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2465 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2474 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2469 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      2465 ns/op	    4737 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      5011 ns/op	    4776 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4388 ns/op	    4776 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4431 ns/op	    4777 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4410 ns/op	    4777 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  300000	      4388 ns/op	    4777 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1159 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1158 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1157 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1166 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1156 ns/op	    3152 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 2000000	       657 ns/op	     145 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       680 ns/op	     140 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       268 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       264 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 5000000	       264 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        18.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        18.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        18.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        18.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	100000000	        18.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1868 ns/op	    4500 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1865 ns/op	    4500 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1868 ns/op	    4500 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1868 ns/op	    4500 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1873 ns/op	    4500 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      2336 ns/op	    1866 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      2264 ns/op	    1866 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      2371 ns/op	    1866 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      2390 ns/op	    1866 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 1000000	      2310 ns/op	    1866 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 3000000	       557 ns/op	     976 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 3000000	       560 ns/op	     976 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 3000000	       565 ns/op	     976 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 3000000	       558 ns/op	     976 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 3000000	       557 ns/op	     976 B/op	       6 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       632 ns/op	    1016 B/op	       8 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       631 ns/op	    1016 B/op	       8 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       631 ns/op	    1016 B/op	       8 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       631 ns/op	    1016 B/op	       8 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       630 ns/op	    1016 B/op	       8 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       946 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       883 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       883 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       883 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       882 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       480 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       480 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       481 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       479 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       480 ns/op	     144 B/op	       3 allocs/op
BenchmarkQuoteAs-4                                            	20000000	       112 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	20000000	       109 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	20000000	       109 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	20000000	       111 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	20000000	       111 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       210 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       210 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       210 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       209 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       210 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        71.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        71.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        71.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        71.4 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        71.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       178 ns/op	     208 B/op	       2 allocs/op
