goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkRepeat/multi-4                                    	  647016	      1864 ns/op	     888 B/op	      21 allocs/op
BenchmarkRepeat/multi-4                                    	  614763	      1859 ns/op	     888 B/op	      21 allocs/op
BenchmarkRepeat/multi-4                                    	  651162	      1855 ns/op	     888 B/op	      21 allocs/op
BenchmarkRepeat/single-4                                   	 1000000	      1029 ns/op	     368 B/op	      13 allocs/op
BenchmarkRepeat/single-4                                   	 1000000	      1030 ns/op	     368 B/op	      13 allocs/op
BenchmarkRepeat/single-4                                   	 1000000	      1029 ns/op	     368 B/op	      13 allocs/op
BenchmarkRepeat/single-4                                   	 1000000	      1031 ns/op	     368 B/op	      13 allocs/op
BenchmarkRepeat/single-4                                   	 1000000	      1029 ns/op	     368 B/op	      13 allocs/op
BenchmarkQuoteAs-4                                         	10352137	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10438386	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10333000	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10291299	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10386951	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5669991	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5653123	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5645209	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5652916	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5667523	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17455766	        68.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17315746	        68.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17420182	        68.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17406542	        68.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17380767	        70.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6497076	       183 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6568947	       186 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6534954	       183 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6553200	       183 ns/op	     192 B/op	       2 allocs/op
