goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkInsert_Prepared/ExecContext-4                        	    2206	    551933 ns/op	    1209 B/op	      20 allocs/op
--- FAIL: BenchmarkJackC_GoDBBench
    benchmark_integration_test.go:216: [dml] Prepare.PrepareContext with query "SELECT `id`, `first_name`, `last_name`, `sex`, `birth_date`, `weight`, `height`, `update_time` FROM `dml_fake_person` WHERE (`id` BETWEEN ? AND ?)": Error 1146: Table 'test.dml_fake_person' doesn't exist
BenchmarkSelect_Rows-4                                        	  359582	      3201 ns/op	    6254 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  386383	      3089 ns/op	    6253 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  391101	      3087 ns/op	    6253 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  380635	      3081 ns/op	    6253 B/op	      18 allocs/op
BenchmarkSelectBasicSQL-4                                     	  577748	      2076 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	  580502	      2074 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	  577588	      2079 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	  576999	      2098 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4                             	  260510	      4513 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  266652	      4515 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  264097	      4514 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  268206	      4538 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  304200	      3931 ns/op	    6185 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  302583	      3921 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  302308	      3924 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  302722	      3918 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	  642855	      2092 ns/op	     400 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 2188912	      1146 ns/op	     209 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 4967708	      1384 ns/op	     232 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 4812224	       257 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	81512379	        14.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	81532827	        14.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	81341505	        14.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	80087476	        14.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44073	     27203 ns/op	    9417 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44290	     27297 ns/op	    9419 B/op	      16 allocs/op
