goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 3412868	       638 ns/op	     214 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 4756174	       494 ns/op	      54 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 4761441	       271 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 4773879	       271 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	63865075	        18.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	64034995	        18.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	64040517	        18.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	63893486	        18.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  639988	      1779 ns/op	    4130 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  692310	      1768 ns/op	    4130 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  693048	      1764 ns/op	    4130 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  691746	      1761 ns/op	    4129 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  819943	      1784 ns/op	    1440 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  821610	      1797 ns/op	    1440 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  825632	      1806 ns/op	    1440 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  789546	      1813 ns/op	    1443 B/op	      12 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2345000	       504 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2385014	       503 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2377856	       504 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2370018	       504 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1905200	       631 ns/op	     792 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1902927	       631 ns/op	     792 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1899309	       631 ns/op	     792 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1902014	       632 ns/op	     792 B/op	       9 allocs/op
BenchmarkRepeat/multi-4                                       	  733010	      1628 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/multi-4                                       	  738877	      1636 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/multi-4                                       	  747134	      1631 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/multi-4                                       	  743028	      1634 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/single-4                                      	 1352505	       891 ns/op	     272 B/op	      10 allocs/op
BenchmarkRepeat/single-4                                      	 1351438	       885 ns/op	     272 B/op	      10 allocs/op
BenchmarkRepeat/single-4                                      	 1349660	       884 ns/op	     272 B/op	      10 allocs/op
BenchmarkRepeat/single-4                                      	 1354569	       885 ns/op	     272 B/op	      10 allocs/op
BenchmarkQuoteAs-4                                            	10281157	       117 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10306362	       117 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	 9107172	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10156154	       116 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5659626	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5670169	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5669116	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	 5670328	       212 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17437447	        69.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17436602	        68.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17334412	        68.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	17389352	        68.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6461701	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6470650	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6489391	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	 6464428	       186 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5675840	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5691038	       211 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5720389	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	 5700716	       211 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4291844	       280 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4282935	       279 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4301101	       280 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 4284382	       283 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6008223	       200 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6040520	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6000121	       200 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	 6049501	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6049179	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 5996931	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6006758	       200 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	 6040914	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	74178024	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	75706602	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	75362416	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	74673104	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  131112	      9135 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  131632	      9138 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  130563	      9148 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  132442	      9132 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	57688912	        20.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	58230657	        20.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	58748437	        20.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	57384658	        20.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	75621180	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	75366501	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	75415126	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	70875079	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   85051	     14128 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   85286	     14103 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	   85363	     14101 ns/op	   14008 B/op	      96 allocs/op
